id,h_mean,v_mean,s_mean,h_std,v_std,s_std,contrast,dissimilarity,homogeneity,asm,correlation,entropy,intensity_mean,intensity_std
1056,11.529194,59.24032,89.46048,46.91259,65.51705,86.70645,1.2345806451612904,0.5329032258064517,0.7958028635788029,0.10458001873048911,0.9766358809886476,6.965626,82.6457,81.81112
657,15.225,59.35411,187.1365,92.210976,63.995773,62.769665,5.31541935483871,1.36741935483871,0.5863822079974939,0.033587606659729465,0.8256293631270856,7.5215635,169.31575,63.096096
1663,110.96774,37.6656,240.16121,88.633194,53.908287,25.098698,0.637225806451613,0.3840645161290323,0.8323638143178941,0.28009017065556724,0.9554118576471784,5.9919524,222.22215,44.194515
306,96.28577,96.24166,225.85869,54.21426,48.93476,40.706894,1.2607741935483872,0.4389677419354838,0.8467554219110361,0.13212242872008326,0.8894872372500701,6.590452,188.89648,37.80688
1514,0.0,0.0,124.99315,-0.0,0.0,59.04711,2.9250967741935483,1.0888387096774195,0.6014696723380654,0.01778792924037461,0.8926307889171915,7.7569714,124.99315,59.04711
1876,38.93125,74.79987,190.76889,31.32023,61.92466,61.792007,0.2727741935483871,0.183741935483871,0.916966048752007,0.25854233922996883,0.9925570113785429,5.113425,178.13426,70.18079
704,118.22766,22.22912,185.59181,59.74409,29.409502,70.45806,0.8711612903225807,0.5182580645161291,0.7755436870529852,0.14473870343392306,0.9737594793255628,6.54763,174.9008,65.573326
950,134.23831,142.78784,115.362816,33.869938,63.708797,66.04896,3.3314193548387094,0.9687096774193549,0.6883243846295601,0.05908657232049948,0.9028560605901796,7.4447656,80.48112,66.008995
479,95.68608,33.398594,241.99623,99.7825,16.861067,20.381302,0.28219354838709676,0.18296774193548393,0.9181672164647496,0.23539457232049946,0.9415660607047827,5.9980755,226.34428,24.36596
1994,171.66869,75.0329,146.26074,50.23375,39.429543,68.79565,0.5667741935483871,0.4318064516129032,0.7974736747841112,0.04209218106139438,0.9825214298355776,7.610155,125.25019,64.207306
270,90.108475,59.41664,211.2121,40.102142,37.827614,34.09497,0.1934193548387097,0.17445161290322583,0.9146618595825429,0.1156313069719043,0.9751885453508504,6.514821,191.84828,30.304737
1537,1.6969067,62.80269,13.472,29.982882,96.15421,31.309895,0.8944516129032261,0.295483870967742,0.9029953438166408,0.7133056441207081,0.8308238658245918,2.9526575,10.77692,27.392422
881,13.464718,115.71239,107.57945,29.098648,44.96624,38.25258,1.8734193548387097,0.6535483870967742,0.7467821091863986,0.05202237877211238,0.8483411230866275,7.2131453,88.61568,39.648823
1121,161.04042,80.80928,95.558975,31.656006,70.37896,84.56207,1.1722580645161291,0.5388387096774194,0.7868325602496382,0.139450395421436,0.9715030643029618,6.2720075,77.337654,73.77513
1161,7.6733937,64.73491,192.65753,77.027245,85.22614,62.85516,4.2780645161290325,1.040516129032258,0.6965749905128482,0.08582925286160249,0.8952911500720028,6.7484026,166.27805,74.129036
1862,158.89146,91.182655,159.9168,55.376038,107.06588,71.50421,2.0298709677419353,0.7075483870967741,0.754613000260657,0.12192519875130073,0.9690965354877086,6.1377573,136.53004,94.53415
